# Beta-delayed neutron emission probabilities dataset.
# Code: BeoH [3.5.0]
# Each row indicates data for an individual nucleus with proton number (Z), neutron number (N) and atomic mass (A).
# The middle columns give the j-neutron emission probabilities denoted by Pjn.
# The third to last column denotes the average neutron emission energy, <E_n>, in MeV.
# The second to last column denotes the neutron multiplicity after beta-decay, <n>.
# The last column denotes whether AME2012 masses (1) or FRDM2012 masses (0) were used.
#
#   Z   N  A  P0n  P1n  P2n  P3n  P4n  P5n  P6n  P7n  P8n  P9n  P10n <E_n> <n>  exp
# =================================================================================
 11  14  25 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00   1
 11  15  26 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00   1
 11  16  27 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00   1
 11  17  28 0.98 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.67 0.02   1
 11  18  29 0.86 0.14 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.17 0.14   1
 11  19  30 0.90 0.10 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.02 0.10   1
 11  20  31 0.76 0.24 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.48 0.24   1
 11  21  32 0.70 0.25 0.05 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.25 0.35   1
 11  22  33 0.34 0.63 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.21 0.69   0
 11  23  34 0.37 0.43 0.19 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.33 0.84   0
 11  24  35 0.14 0.73 0.10 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.54 1.02   0
 11  25  36 0.11 0.30 0.52 0.05 0.02 0.00 0.00 0.00 0.00 0.00 0.00 1.66 1.57   0
 11  26  37 0.00 0.51 0.24 0.24 0.01 0.00 0.00 0.00 0.00 0.00 0.00 1.82 1.75   0
 11  27  38 0.04 0.05 0.61 0.17 0.12 0.01 0.00 0.00 0.00 0.00 0.00 1.89 2.31   0
 11  28  39 0.00 0.30 0.07 0.52 0.07 0.04 0.00 0.00 0.00 0.00 0.00 1.88 2.48   0
 11  29  40 0.01 0.04 0.40 0.08 0.39 0.05 0.03 0.00 0.00 0.00 0.00 2.01 3.07   0
 11  30  41 0.00 0.05 0.07 0.44 0.08 0.30 0.04 0.02 0.00 0.00 0.00 2.13 3.71   0
 11  31  42 0.00 0.01 0.07 0.06 0.47 0.08 0.26 0.03 0.02 0.00 0.00 2.23 4.54   0
 11  32  43 0.00 0.01 0.03 0.12 0.06 0.47 0.07 0.21 0.02 0.01 0.00 2.29 5.16   0
